tweet_id,agreement,num_labels,label,tweet_id.1,user_name,user_id,in_reply_to,retweet,friends,followers,status,verified,tweet,protected
563180189778460672,1.0,3,-1,7.04e+17,Shewrites,17035064.0,ModernMom,0,2249,4964,10174,0,"@ModernMom What does it mean to raise children in a time when ""going viral"" is a good thing and not something we are vaccinated against?       ",0
491671483400200192,0.6666666666666666,3,0,5.64e+17,SanDiegoCP,60115647.0,None,0,3783,20,247037,0,People Rush to Vaccinate After Measles Outbreak http://t.co/ez6pOWYAIp       ,0
317777080563683328,1.0,3,0,5.89e+17,AaronMMarsh,255409216.0,None,1,2199,858,38674,0,If you want to prove that your one life has influence... Go to Disneyland with the measles       ,0
576073650358657024,1.0,3,1,4.11e+17,snoit775cerid,583402558.0,adamlevine,0,2203,3371,1181,0,@adamlevine Yes people listen to Adam. Everyone needs good health insurance. Annual check ups and vaccines amount other things are free:-)       ,0
558924063985238017,1.0,3,0,5.68e+17,LosAngelesCP,55218049.0,None,0,5649,24,342481,0,KNX Spotlight: The Vaccine Dilemma: Should parents have to vaccinate their kids?That’s the focus of “KNX Spotlight:… http://t.co/L3QIy9LS8o       ,0
210801244036546563,0.6666666666666666,3,1,5.68e+17,SeattleCP,74998364.0,None,0,1968,11,321323,0,Committee passes  sends full House bill to trim Washington state’s vaccine exemptions: A House committee has… http://t.co/lJbEl9RaVe      ,0
380515978561343488,1.0,3,0,6.09e+17,SeattleCP,74998364.0,None,0,1968,11,321323,0,New case of the measles reported in King County; where you may have been exposed: KING COUNTY — Health officials… http://t.co/VGAK1UZJ59       ,0
480026628039245824,0.6666666666666666,3,-1,2.07e+17,MilkyMoonArt,38069465.0,None,0,139,956,9718,0,"@UberFacts: On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health. I'm Immortal       ",0
568250749119029248,0.6666666666666666,3,-1,3.08e+17,_imNOTordinary_,310276519.0,None,0,402,261,33541,0,#InitialsOfSomeoneYouCareAbout MMR       ,0
62314160721113088,1.0,3,-1,5.04e+17,john19071969,34990384.0,AnnaEadie,0,1353,3299,69125,0,"“@AnnaEadie: 9 minute video of #CDCwhistleblower confessin about #CDCFraud covering up autism-vaccine link "" BS http://t.co/vq8sEy6WtY       ",0
610884358149394432,0.6666666666666666,3,0,5.69e+17,djabell,35510376.0,None,1,558,1416,2387,0,"I came for the #ebola but i think i will stay for the #measles (@ Walmart in Mountain View  CA) https://t.co/FsiINLPQID  that Nationwide ad would be an awesome pro-vax PSA. ""I'll never grow up  I caught measles""    ",0
410526745805463552,0.6666666666666666,3,0,1.15e+17,JZ_1273,164935804.0,None,0,125,492,1761,0,RT“@drbloem: Student Suspended And Assaulted For Handing Out ANTI-VACCINE Fliers http://t.co/DR040a7q #health”       ,0
555889484277895168,1.0,3,1,6.24e+17,DominateREALITY,42817864.0,None,0,4465,4618,40854,0,If it's YOUR baby I wonder if you'd accept it's just COINCIDENCE if your healthy baby dies shortly after being vaccinated? #accountability       ,0
569677740166791170,1.0,3,1,5.63e+17,brookebutler44,521735307.0,lizziegale,0,523,426,11499,0,@lizziegale @kylesullivan215 where's the bitch that's tellin everyone I have measles... That'll cause a Twitter fight       ,0
558033603402416128,1.0,3,1,1.93e+17,pharmacareer,26324185.0,None,0,1241,0,5920,0,Director - Infectious Disease Vaccine Translational - FF & C Management - Research Triangle Park  NC http://t.co/JIdkEuHI #jobs      ,0
329721790777663488,1.0,3,0,5.59e+17,SpottedTowhee42,173958502.0,superkaylee,0,84,102,8684,0,@superkaylee I’ll get measles with you tomorrow no worries       ,0
488062935051161601,0.3333333333333333,3,-1,5.66e+17,JAshWarren,849801702.0,None,0,53,137,1673,0,I wonder what my Facebook feed would look like if Kanye and Kim announced that they weren't going to vaccinate their child....       ,0
766086242622590976,0.3333333333333333,3,-1,6.62e+16,MedicalBrief,237710227.0,None,0,1943,2408,24722,0,U.S. on track for most measles cases in a decade - USATODAY.com http://usat.ly/irEuv5       ,0
563026961447276544,0.6666666666666666,3,-1,3.92e+17,mmrboss,1005366260.0,DJBOSSCHIC,1,502,1335,2064,0,@DJBOSSCHIC you no how real niggas do! We spend cash #real movement #MMR supported http://t.co/DW3D25zprO       ,0
705120851558055936,0.6666666666666666,3,1,5.59e+17,ConsultingAdult,82903674.0,None,0,204,389,12683,0,1900 7 577 kids died of the measles. 2014 1      ,0
562349273590009856,0.6666666666666666,3,0,5.2e+17,Truactive,277810122.0,lisa_alba,0,10300,10349,313772,0,@lisa_alba if we don't take vaccinations  there will be outbreaks of diseases that were considered controlled      ,0
378272093395091456,0.6666666666666666,3,0,5.64e+17,heath_kiker,184634210.0,None,0,392,719,9540,0,Attention Americans: GET YOUR KIDS VACCINATED!!!       ,0
431502180428705792,0.6666666666666666,3,1,5.64e+17,SanAntonioCP,58101529.0,None,0,2952,13,237713,0,Texas Republican Calls For Limiting Vaccine Exemptions: A Texas Republican is taking aim at a provision in state… http://t.co/Ttb3b9b2Up       ,0
516823464951291905,1.0,3,-1,4.5e+17,curso_55,411983070.0,Pr3bs,0,86,313,2697,0,@SEEDPrebs i would que if i had your MMR. ;_;       ,0
